model,strategy,student_id,question_number,gold_score,weighted_score,error,error_direction
chatgpt,few-shot,student_15,5,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,5,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,4,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,4,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,5,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,5,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,7,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,7,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,4,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,4,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,5,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,5,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,7,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,7,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,4,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,4,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,5,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,5,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,7,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,7,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,4,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,4,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,5,3.0,1.2,-1.8,Under-grading
chatgpt,few-shot,student_15,5,3.0,1.2,-1.8,Under-grading
chatgpt,few-shot,student_15,7,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,7,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,4,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,4,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,5,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,5,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,7,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,7,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,4,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,4,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,5,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,5,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,7,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,7,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,4,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,4,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,5,3.0,1.2,-1.8,Under-grading
chatgpt,few-shot,student_15,5,3.0,1.2,-1.8,Under-grading
chatgpt,few-shot,student_15,7,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,7,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,4,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,4,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,5,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,5,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,7,3.0,1.1,-1.9,Under-grading
chatgpt,few-shot,student_15,7,3.0,1.1,-1.9,Under-grading
