experiment_id,model,strategy,student_name,question_number,weighted_score_pred,status,timestamp,grade_pred,weighted_score_gold,grade_gold,score_diff,grade_match
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 1,1,2.9,completed,2025-12-11T00:24:46.041727,C,3.0,B,-0.10000000000000009,False
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 1,1,2.9,completed,2025-12-11T00:24:46.041727,C,3.0,B,-0.10000000000000009,False
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 1,2,2.3,completed,2025-12-11T00:24:56.920944,C,2.0,C,0.2999999999999998,True
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 1,2,2.3,completed,2025-12-11T00:24:56.920944,C,2.0,C,0.2999999999999998,True
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 1,3,3.2,completed,2025-12-11T00:25:07.478901,B,1.1,D,2.1,False
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 1,3,3.2,completed,2025-12-11T00:25:07.478901,B,1.1,D,2.1,False
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 1,4,1.8,completed,2025-12-11T00:25:18.289630,D,1.1,D,0.7,True
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 1,4,1.8,completed,2025-12-11T00:25:18.289630,D,1.1,D,0.7,True
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 1,5,1.8,completed,2025-12-11T00:25:28.461344,D,1.1,D,0.7,True
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 1,5,1.8,completed,2025-12-11T00:25:28.461344,D,1.1,D,0.7,True
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 1,6,2.9,completed,2025-12-11T00:25:39.499469,C,2.2,C,0.6999999999999997,True
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 1,6,2.9,completed,2025-12-11T00:25:39.499469,C,2.2,C,0.6999999999999997,True
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 1,7,1.8,completed,2025-12-11T00:25:50.551614,D,1.1,D,0.7,True
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 1,7,1.8,completed,2025-12-11T00:25:50.551614,D,1.1,D,0.7,True
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 12,1,3.1,completed,2025-12-11T00:31:15.669967,B,3.2,B,-0.10000000000000009,True
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 12,1,3.1,completed,2025-12-11T00:31:15.669967,B,3.2,B,-0.10000000000000009,True
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 12,2,2.9,completed,2025-12-11T00:31:26.558061,C,3.0,B,-0.10000000000000009,False
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 12,2,2.9,completed,2025-12-11T00:31:26.558061,C,3.0,B,-0.10000000000000009,False
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 12,3,3.2,completed,2025-12-11T00:31:37.558824,B,1.8,D,1.4000000000000001,False
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 12,3,3.2,completed,2025-12-11T00:31:37.558824,B,1.8,D,1.4000000000000001,False
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 12,4,1.8,completed,2025-12-11T00:31:48.639080,D,1.8,D,0.0,True
exp_gemini_lenient_08,gemini,lenient,Mahasiswa 12,4,1.8,completed,2025-12-11T00:31:48.639080,D,1.8,D,0.0,True
