model,strategy,grade,grade_numeric,precision,recall,f1_score,support
chatgpt,few-shot,E,1,0.6375,0.6892,0.6623,296
chatgpt,few-shot,D,2,0.45,0.6,0.5143,240
chatgpt,few-shot,C,3,0.7744,0.5819,0.6645,354
chatgpt,few-shot,B,4,0.0,0.0,0.0,20
chatgpt,few-shot,A,5,0.0,0.0,0.0,0
chatgpt,lenient,E,1,0.0,0.0,0.0,306
chatgpt,lenient,D,2,0.172,0.2195,0.1929,246
chatgpt,lenient,C,3,0.4749,0.7802,0.5904,364
chatgpt,lenient,B,4,0.0,0.0,0.0,20
chatgpt,lenient,A,5,0.0,0.0,0.0,0
chatgpt,zero-shot,E,1,0.6347,0.7162,0.673,296
chatgpt,zero-shot,D,2,0.471,0.6083,0.5309,240
chatgpt,zero-shot,C,3,0.7955,0.5932,0.6796,354
chatgpt,zero-shot,B,4,0.0,0.0,0.0,20
chatgpt,zero-shot,A,5,0.0,0.0,0.0,0
gemini,few-shot,E,1,0.5512,0.5426,0.5469,258
gemini,few-shot,D,2,0.2757,0.4679,0.3469,218
gemini,few-shot,C,3,0.7586,0.3905,0.5156,338
gemini,few-shot,B,4,0.0,0.0,0.0,20
gemini,few-shot,A,5,0.0,0.0,0.0,0
gemini,lenient,E,1,0.0,0.0,0.0,272
gemini,lenient,D,2,0.3269,0.4513,0.3792,226
gemini,lenient,C,3,0.5576,0.8857,0.6843,350
gemini,lenient,B,4,0.0,0.0,0.0,20
gemini,lenient,A,5,0.0,0.0,0.0,0
gemini,zero-shot,E,1,0.6818,0.2308,0.3448,260
gemini,zero-shot,D,2,0.3103,0.7364,0.4367,220
gemini,zero-shot,C,3,0.7522,0.5,0.6007,340
gemini,zero-shot,B,4,0.0,0.0,0.0,20
gemini,zero-shot,A,5,0.0,0.0,0.0,0
